state,county,sex,race,sex_by_race,educ,democrat
1,2,0,1,1,1,0
1,2,0,1,1,2,0
1,2,0,1,1,2,0
1,2,0,1,1,2,0
1,2,0,1,1,4,0
1,2,1,1,8,2,0
1,2,1,1,8,2,0
1,2,1,1,8,2,1
1,2,1,1,8,4,0
1,2,1,2,9,3,1
1,4,0,1,1,2,0
1,4,1,1,8,2,0
1,5,1,3,10,1,1
1,8,0,1,1,4,0
1,8,0,2,2,3,1
1,8,1,1,8,2,0
1,8,1,1,8,3,0
1,8,1,2,9,2,1
1,8,1,2,9,3,0
1,8,1,2,9,3,1
1,8,1,2,9,3,1
1,10,0,1,1,2,0
1,16,1,1,8,2,0
1,16,1,1,8,2,0
1,16,1,1,8,3,0
1,16,1,6,13,4,0
1,17,1,1,8,1,0
1,17,1,1,8,3,1
1,20,1,1,8,3,0
1,22,0,1,1,1,0
1,22,1,1,8,1,0
1,22,1,1,8,2,0
1,22,1,1,8,3,0
1,22,1,5,12,3,1
1,24,1,2,9,3,1
1,25,0,1,1,2,0
1,25,0,1,1,3,0
1,25,0,7,7,2,0
1,26,0,1,1,2,0
1,26,0,1,1,3,0
1,26,1,1,8,2,0
1,26,1,1,8,2,0
1,26,1,1,8,2,0
1,27,0,1,1,2,0
1,27,0,1,1,2,1
1,28,0,1,1,2,0
1,28,0,1,1,2,0
1,28,0,2,2,4,1
1,28,1,2,9,2,1
1,29,1,2,9,2,1
1,31,0,1,1,2,1
1,34,0,1,1,2,0
1,35,0,1,1,2,0
1,35,0,1,1,2,0
1,35,0,1,1,4,0
1,35,1,1,8,3,1
1,36,1,7,14,3,1
1,37,0,1,1,2,0
1,37,0,1,1,2,0
1,37,0,1,1,4,0
1,37,0,1,1,4,0
1,37,0,3,3,4,1
1,37,0,7,7,3,0
1,37,1,1,8,1,0
1,37,1,1,8,2,0
1,37,1,1,8,2,0
1,37,1,1,8,3,0
1,37,1,1,8,4,0
1,37,1,1,8,4,1
1,37,1,1,8,4,1
1,37,1,2,9,1,1
1,37,1,2,9,1,1
1,37,1,2,9,3,0
1,37,1,2,9,3,0
1,37,1,2,9,3,1
1,37,1,2,9,3,1
1,37,1,2,9,4,0
1,37,1,2,9,4,1
1,39,0,1,1,2,0
1,39,0,1,1,3,0
1,39,1,2,9,3,1
1,41,0,1,1,2,0
1,41,0,1,1,4,1
1,41,0,3,3,3,0
1,41,1,1,8,2,0
1,41,1,1,8,3,0
1,41,1,1,8,3,1
1,41,1,2,9,3,1
1,42,0,2,2,3,0
1,43,1,1,8,3,0
1,45,0,1,1,2,0
1,45,0,1,1,2,0
1,45,0,1,1,3,0
1,45,0,1,1,4,0
1,45,0,1,1,4,0
1,45,0,2,2,2,1
1,45,0,4,4,3,0
1,45,1,1,8,2,0
1,45,1,1,8,2,1
1,45,1,1,8,3,0
1,45,1,1,8,3,0
1,45,1,1,8,3,0
1,45,1,1,8,3,1
1,45,1,1,8,4,0
1,45,1,1,8,4,1
1,45,1,5,12,3,1
1,46,0,1,1,2,0
1,46,1,1,8,2,0
1,48,0,1,1,2,1
1,48,0,1,1,4,1
1,48,1,1,8,1,1
1,48,1,1,8,2,0
1,49,0,1,1,2,0
1,49,0,1,1,2,0
1,49,1,1,8,2,0
1,49,1,1,8,2,0
1,49,1,1,8,2,0
1,49,1,1,8,2,0
1,49,1,1,8,2,0
1,49,1,1,8,2,0
1,49,1,1,8,3,0
1,49,1,1,8,3,0
1,49,1,1,8,3,1
1,49,1,1,8,4,1
1,49,1,2,9,2,1
1,49,1,2,9,3,1
1,49,1,2,9,3,1
1,49,1,2,9,3,1
1,49,1,2,9,4,1
1,50,1,2,9,2,1
1,51,0,1,1,2,0
1,51,0,1,1,2,0
1,51,0,1,1,4,0
1,51,0,3,3,4,0
1,51,1,1,8,2,0
1,51,1,1,8,2,0
1,51,1,1,8,2,0
1,51,1,1,8,4,1
1,51,1,2,9,3,1
1,51,1,2,9,4,1
1,51,1,2,9,4,1
1,52,0,1,1,3,0
1,52,0,1,1,4,0
1,52,1,1,8,3,0
1,52,1,1,8,4,1
1,52,1,2,9,3,1
1,53,1,2,9,3,1
1,55,1,1,8,3,0
1,56,1,1,8,2,0
1,57,0,1,1,4,0
1,57,1,1,8,2,0
1,57,1,1,8,2,0
1,57,1,2,9,4,1
1,58,0,1,1,4,0
1,58,0,2,2,3,1
1,58,1,1,8,1,0
1,58,1,1,8,3,0
1,59,0,1,1,3,0
1,59,0,1,1,3,0
1,59,0,1,1,4,0
1,59,1,1,8,2,0
1,59,1,1,8,2,0
1,59,1,3,10,3,0
1,59,1,7,14,3,0
1,60,1,2,9,3,1
1,61,0,2,2,3,1
1,61,1,2,9,2,1
1,63,0,1,1,2,0
1,63,0,1,1,3,1
1,63,0,2,2,2,0
1,63,0,2,2,3,1
1,63,1,1,8,2,0
1,63,1,1,8,4,0
1,63,1,2,9,2,1
1,64,1,1,8,4,0
1,66,1,2,9,4,1
2,70,0,1,1,2,0
2,70,0,1,1,3,0
2,70,0,1,1,3,0
2,70,0,1,1,3,1
2,70,0,1,1,4,0
2,70,0,1,1,4,1
2,70,0,1,1,4,1
2,70,0,6,6,4,0
2,70,1,1,8,1,1
2,70,1,1,8,2,0
2,70,1,1,8,2,1
2,70,1,1,8,3,0
2,70,1,1,8,3,0
2,70,1,1,8,4,1
2,70,1,1,8,4,1
2,70,1,6,13,4,1
2,73,0,1,1,2,0
2,73,1,1,8,2,0
2,75,0,1,1,3,0
2,75,1,1,8,2,1
2,75,1,1,8,3,0
2,75,1,1,8,4,0
2,78,0,1,1,3,0
2,79,1,1,8,3,0
2,79,1,5,12,3,0
2,80,0,1,1,3,1
2,80,0,7,7,3,0
2,80,1,1,8,3,0
2,81,0,1,1,4,0
3,95,0,1,1,2,0
3,95,0,1,1,3,0
3,95,0,1,1,4,0
3,95,0,1,1,4,1
3,95,0,3,3,3,0
3,95,1,2,9,2,0
3,95,1,3,10,3,1
3,95,1,3,10,4,0
3,96,0,1,1,1,1
3,96,0,1,1,2,0
3,96,0,1,1,2,1
3,96,0,1,1,3,0
3,96,0,1,1,3,0
3,96,0,1,1,4,0
3,96,0,3,3,3,1
3,96,1,1,8,3,0
3,97,0,1,1,4,0
3,100,1,1,8,3,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,0
3,101,0,1,1,2,1
3,101,0,1,1,2,1
3,101,0,1,1,2,1
3,101,0,1,1,2,1
3,101,0,1,1,3,0
3,101,0,1,1,3,0
3,101,0,1,1,3,0
3,101,0,1,1,3,0
3,101,0,1,1,3,0
3,101,0,1,1,3,0
3,101,0,1,1,3,0
