county,fips5,county_name,state,state_postal,pop,land_area
1,1001,Autauga,1,AL,50756,595.968
2,1003,Baldwin,1,AL,179878,1596.347
3,1005,Barbour,1,AL,29737,884.904
4,1007,Bibb,1,AL,21587,623.025
5,1009,Blount,1,AL,58345,645.585
6,1011,Bullock,1,AL,10985,625.013
7,1013,Butler,1,AL,19964,776.867
8,1015,Calhoun,1,AL,114081,608.461
9,1017,Chambers,1,AL,34320,597.168
10,1019,Cherokee,1,AL,24448,553.121
11,1021,Chilton,1,AL,42971,693.979
12,1023,Choctaw,1,AL,13990,913.514
13,1025,Clarke,1,AL,26042,1238.375
14,1027,Clay,1,AL,13640,605.074
15,1029,Cleburne,1,AL,14759,560.211
16,1031,Coffee,1,AL,48635,678.99
17,1033,Colbert,1,AL,54639,594.532
18,1035,Conecuh,1,AL,12931,850.794
19,1037,Coosa,1,AL,10556,652.443
20,1039,Covington,1,AL,36678,1033.816
21,1041,Crenshaw,1,AL,13781,609.58
22,1043,Cullman,1,AL,81778,738.428
23,1045,Dale,1,AL,48147,561.074
24,1047,Dallas,1,AL,41925,980.713
25,1049,DeKalb,1,AL,69380,777.913
26,1051,Elmore,1,AL,79233,621.256
27,1053,Escambia,1,AL,37434,947.383
28,1055,Etowah,1,AL,103645,534.822
29,1057,Fayette,1,AL,17371,627.66
30,1059,Franklin,1,AL,31091,635.645
31,1061,Geneva,1,AL,25961,576.28
32,1063,Greene,1,AL,8829,645.865
33,1065,Hale,1,AL,17975,643.736
34,1067,Henry,1,AL,16647,561.796
35,1069,Houston,1,AL,100085,580.36
36,1071,Jackson,1,AL,52838,1078.743
37,1073,Jefferson,1,AL,665027,1112.607
38,1075,Lamar,1,AL,14200,604.847
39,1077,Lauderdale,1,AL,89599,669.461
40,1079,Lawrence,1,AL,34106,693.382
41,1081,Lee,1,AL,135883,608.71
42,1083,Limestone,1,AL,78572,568.049
43,1085,Lowndes,1,AL,12293,717.936
44,1087,Macon,1,AL,21789,610.523
45,1089,Madison,1,AL,327744,804.922
46,1091,Marengo,1,AL,20943,977.045
47,1093,Marion,1,AL,29116,741.415
48,1095,Marshall,1,AL,90399,567.06
49,1097,Mobile,1,AL,411721,1233.091
50,1099,Monroe,1,AL,22389,1025.855
51,1101,Montgomery,1,AL,224119,789.763
52,1103,Morgan,1,AL,117293,582.213
53,1105,Perry,1,AL,10623,719.484
54,1107,Pickens,1,AL,19218,881.418
55,1109,Pike,1,AL,30461,671.033
56,1111,Randolph,1,AL,22577,581.045
57,1113,Russell,1,AL,50846,641.317
58,1115,St. Clair,1,AL,81895,633.752
59,1117,Shelby,1,AL,192503,794.694
60,1119,Sumter,1,AL,12853,904.935
61,1121,Talladega,1,AL,80242,739.532
62,1123,Tallapoosa,1,AL,41008,717.933
63,1125,Tuscaloosa,1,AL,184035,1324.371
64,1127,Walker,1,AL,68742,794.391
65,1129,Washington,1,AL,17069,1080.657
66,1131,Wilcox,1,AL,12384,888.683
67,1133,Winston,1,AL,23997,614.437
68,2013,Aleutians East Borough,2,AK,2744,6988.144
69,2016,Aleutians West Census Area,2,AK,4659,4396.773
70,2020,Anchorage Borough,2,AK,286174,1697.215
71,2050,Bethel Census Area,2,AK,17352,40633.31
