county,county_pop_density,county_bush_vote04
1,85.165649,0.75999999
2,112.68102,0.75999999
3,33.604774,0.55000001
4,34.648689,0.72000003
5,90.375397,0.81
6,17.575634,0.31999999
7,25.698093,0.58999997
8,187.49106,0.66000003
9,57.471264,0.57999998
10,44.200092,0.64999998
11,61.919743,0.76999998
12,15.314488,0.54000002
13,21.029171,0.58999997
14,22.542698,0.69999999
15,26.34543,0.75
16,71.628448,0.74000001
17,91.902542,0.55000001
18,15.198744,0.54000002
19,16.179192,0.57999998
20,35.478268,0.75999999
21,22.607368,0.69
22,110.74607,0.75999999
23,85.81221,0.75
24,42.749508,0.38999999
25,89.187355,0.69999999
26,127.5368,0.76999998
27,39.513058,0.69
28,193.79344,0.63
29,27.675812,0.69
30,48.912521,0.63
31,45.049282,0.79000002
32,13.670039,0.2
33,27.922937,0.41
34,29.631752,0.66000003
35,172.45331,0.74000001
36,48.981083,0.56999999
37,597.7196,0.54000002
38,23.477011,0.70999998
39,133.83752,0.60000002
40,49.187893,0.55000001
41,223.23109,0.63
42,138.31905,0.68000001
43,17.122696,0.30000001
44,35.689072,0.17
45,407.17487,0.58999997
46,21.435041,0.50999999
47,39.270855,0.69999999
48,159.41699,0.72000003
49,333.89343,0.58999997
50,21.824722,0.61000001
51,283.78006,0.49000001
52,201.46063,0.69
53,14.764748,0.31
54,21.803503,0.56999999
55,45.394192,0.63
56,38.855854,0.68000001
57,79.283722,0.5
58,129.22247,0.81
59,242.23538,0.80000001
60,14.20323,0.28999999
61,108.50375,0.61000001
62,57.119537,0.69
63,138.96031,0.61000001
64,86.53421,0.68000001
65,15.795021,0.61000001
66,13.935227,0.31999999
67,39.055264,0.77999997
68,0.39266506,0.34272
69,1.0596408,0.34272
70,168.61388,0.676
71,0.42703879,0.48500001
72,1.7448447,0.34272
73,0.1451804,0.052122001
74,0.26543823,0.34272
75,13.393529,0.58200002
76,1.0235803,0.51351303
77,0.28573191,0.51351303
78,11.335941,0.40799999
79,3.4137337,0.671
80,10.545529,0.60500002
81,2.0344989,0.611
82,0.062442288,0.611
83,3.5807734,0.66799998
84,0.40828818,0.51700002
85,0.076021381,0.534316
86,0.20736335,0.534316
87,3.0435135,0.51058
88,2.0334098,0.51351303
89,0.27773684,0.41940001
90,0.27168548,0.51351303
91,0.44964671,0.51700002
92,0.089537121,0.51351303
93,0.038567595,0.41940001
94,6.3000236,0.34999999
95,20.99345,0.60000002
96,6.9745955,0.43000001
97,10.948459,0.58999997
98,8.002264,0.69999999
99,4.3535438,0.62
100,4.4471564,0.62
101,437.14786,0.56999999
102,14.635686,0.63999999
103,11.350641,0.52999997
104,111.05711,0.47
105,63.498642,0.56999999
106,35.366676,0.40000001
107,26.551521,0.61000001
108,35.721584,0.57999998
109,19.191898,0.55000001
110,23.819191,0.54000002
111,76.046112,0.60000002
112,266.55508,0.68000001
113,62.284222,0.66000003
114,18.120955,0.47
115,8.270277,0.57999998
116,44.326752,0.58999997
117,18.357925,0.36000001
118,27.541126,0.44999999
119,24.378302,0.44999999
120,46.288845,0.60000002
121,14.113183,0.56999999
122,31.136358,0.57999998
123,37.398186,0.5
124,134.2876,0.52999997
125,100.94509,0.66000003
126,86.897667,0.44999999
127,30.111423,0.55000001
128,11.972971,0.5
129,17.461689,0.37
130,22.48781,0.51999998
131,168.96774,0.58999997
132,29.555988,0.56999999
133,18.741255,0.50999999
134,145.41591,0.54000002
135,28.111185,0.62
136,70.98764,0.51999998
137,31.596901,0.47999999
138,51.691811,0.49000001
139,24.328379,0.55000001
140,45.345459,0.56999999
141,22.452831,0.51999998
142,26.294189,0.41999999
143,88.950798,0.34
144,37.745708,0.54000002
145,14.252693,0.5
146,28.781025,0.44999999
147,17.150797,0.37
148,24.14995,0.47
149,24.358044,0.49000001
150,31.473236,0.58999997
151,87.05024,0.64999998
152,18.970785,0.61000001
153,27.762999,0.60000002
154,69.749146,0.57999998
155,51.884277,0.43000001
156,13.469118,0.43000001
157,11.536289,0.60000002
158,14.781766,0.5
159,9.9529877,0.63
160,34.721825,0.5
161,18.716967,0.55000001
162,30.203329,0.36000001
163,17.623316,0.60000002
164,32.573219,0.46000001
165,23.573999,0.67000002
166,74.164307,0.64999998
167,13.286187,0.56
168,495.45096,0.44
169,27.541176,0.47
170,41.422321,0.40000001
171,137.46265,0.63
172,12.443504,0.62
173,11.907385,0.63999999
174,230.48692,0.62
175,29.974768,0.55000001
176,29.227951,0.55000001
177,19.767818,0.56999999
178,41.179974,0.58999997
179,23.074739,0.54000002
180,210.77963,0.56
