county,state,sex,race,sex_by_race,educ,pop
1,1,0,1,1,1,1539
1,1,0,1,1,2,4137
1,1,0,1,1,3,3457
1,1,0,1,1,4,3080
1,1,0,2,2,1,577
1,1,0,2,2,2,1002
1,1,0,2,2,3,457
1,1,0,2,2,4,196
1,1,0,3,3,1,80
1,1,0,3,3,2,44
1,1,0,3,3,3,47
1,1,0,3,3,4,84
1,1,0,4,4,4,28
1,1,0,5,5,1,15
1,1,0,5,5,2,4
1,1,0,5,5,4,26
1,1,0,6,6,2,19
1,1,0,6,6,3,64
1,1,0,6,6,4,43
1,1,0,7,7,1,37
1,1,0,7,7,2,24
1,1,0,7,7,3,17
1,1,0,7,7,4,11
1,1,1,1,8,1,1630
1,1,1,1,8,2,4572
1,1,1,1,8,3,4068
1,1,1,1,8,4,2905
1,1,1,2,9,1,814
1,1,1,2,9,2,926
1,1,1,2,9,3,675
1,1,1,2,9,4,430
1,1,1,3,10,1,44
1,1,1,3,10,2,40
1,1,1,3,10,3,109
1,1,1,3,10,4,51
1,1,1,4,11,1,16
1,1,1,4,11,2,55
1,1,1,4,11,3,23
1,1,1,4,11,4,37
1,1,1,5,12,2,77
1,1,1,5,12,3,19
1,1,1,5,12,4,4
1,1,1,6,13,1,3
1,1,1,6,13,2,35
1,1,1,6,13,3,61
1,1,1,7,14,1,6
1,1,1,7,14,3,16
1,1,1,7,14,4,28
2,1,0,1,1,1,5533
2,1,0,1,1,2,13870
2,1,0,1,1,3,15181
2,1,0,1,1,4,15194
2,1,0,2,2,1,1452
2,1,0,2,2,2,1897
2,1,0,2,2,3,983
2,1,0,2,2,4,312
2,1,0,3,3,1,673
2,1,0,3,3,2,287
2,1,0,3,3,3,247
2,1,0,3,3,4,183
2,1,0,4,4,1,13
2,1,0,4,4,2,48
2,1,0,4,4,3,11
2,1,0,4,4,4,126
2,1,0,5,5,1,63
2,1,0,5,5,2,142
2,1,0,5,5,3,55
2,1,0,5,5,4,76
2,1,0,6,6,1,111
2,1,0,6,6,2,152
2,1,0,6,6,3,101
2,1,0,6,6,4,187
2,1,0,7,7,1,427
2,1,0,7,7,2,183
2,1,0,7,7,3,90
2,1,0,7,7,4,35
2,1,1,1,8,1,5555
2,1,1,1,8,2,16159
2,1,1,1,8,3,17764
2,1,1,1,8,4,14641
2,1,1,2,9,1,1108
2,1,1,2,9,2,2114
2,1,1,2,9,3,1610
2,1,1,2,9,4,498
2,1,1,3,10,1,330
2,1,1,3,10,2,415
2,1,1,3,10,3,339
2,1,1,3,10,4,140
2,1,1,4,11,1,52
2,1,1,4,11,2,18
2,1,1,4,11,3,151
2,1,1,4,11,4,119
2,1,1,5,12,2,77
2,1,1,5,12,3,135
2,1,1,5,12,4,63
2,1,1,6,13,1,63
2,1,1,6,13,2,165
2,1,1,6,13,3,244
2,1,1,6,13,4,37
2,1,1,7,14,1,148
2,1,1,7,14,2,74
2,1,1,7,14,3,155
2,1,1,7,14,4,13
3,1,0,1,1,1,1155
3,1,0,1,1,2,1791
